Filename,HistMean,HistVar,LaplVar,MaxLapl,MaxVar,MaxAvgLapl,MinAvgLapl,IQR,Deviation,C1AreaProp,C2AreaProp,C3AreaProp,C4AreaProp,HistBin1,HistBin2,HistBin3,HistBin4,HistBin5,HistBin6,HistBin7,HistBin8,LaplHistBin1,LaplHistBin2,LaplHistBin3,LaplHistBin4,LaplHistBin5,LaplHistBin6,LaplHistBin7,LaplHistBin8,SiftNumKP,SurfNumKP,AkazeNumKP,BriskNumKP,KazeNumKP,ORBNumKP,RidgeAreaProp,MaxX,AvgMaxX,MaxY,MinVar,Output
miscal/ESP_011432_0925_RED.NOMAP.browse-Block-2.jpg,124.5650634765625,3446.02762709558,683.5640465281904,49.67185974121094,108.27337646484375,72.91532894968987,116.72156032919884,102.0,1.0793734329682152,0.2825927734375,0.011962890625,0.1484375,0.35723876953125,839,2442,2332,1983,3495,2868,2135,290,7,14,39,76,6141,9980,116,11,7,74,0,53,2,57,0.5682005975760666,66528,55846.0,48318,106.63465749658644,1
miscal/ESP_011432_0925_RED.NOMAP.browse-Block-4.jpg,100.63653564453125,432.06180235370994,921.2256469726562,38.86761474609375,87.19964599609375,62.500552117824554,97.32200765609741,24.0,1.1152939520810612,0.22686767578125,0.00457763671875,0.09356689453125,0.3392333984375,32,515,5761,8843,1178,47,5,3,2,9,23,56,2793,13387,105,9,2,41,0,55,0,59,0.5237165825039732,47937,47415.0,41991,114.5706409914419,1
miscal/ESP_012552_1220_RED.NOMAP.browse-Block-2.jpg,156.22393798828125,2593.7112653516233,87.66852515935898,19.000961303710938,277.066162109375,57.093912065029144,58.966157644987106,74.0,1.9875647668393783,0.3372802734375,0.0924072265625,0.31951904296875,0.33935546875,147,781,1419,2157,2915,4289,3634,1042,16,234,1805,5757,6517,1782,241,32,18,66,2,0,23,6,0.5324757819082223,390201,338709.0,127896,670.0311219124123,1
miscal/ESP_012552_1220_RED.NOMAP.browse-Block-8.jpg,120.50341796875,2324.4243047237396,109.82226848229766,45.70941162109375,377.3662109375,77.97122418880463,86.814040184021,63.0,2.0257176749981127,0.33892822265625,0.15203857421875,0.32659912109375,0.340576171875,919,1374,2340,3626,4807,2441,745,132,15,52,956,6806,7488,1007,53,7,44,70,1,1,42,22,0.5488709573768532,217014,176680.0,105657,365.09620366225465,1
miscal/ESP_012618_1090_RED.NOMAP.browse-Block-1.jpg,168.23590087890625,3252.6966090761125,156.87511524185538,3.30218505859375,28.542343139648438,8.528705537319183,10.864470571279526,77.0,1.1262421370061395,0.113037109375,0.0,0.021728515625,0.30499267578125,433,684,1066,1592,1912,2778,6228,1691,14,274,3058,8037,4336,595,66,4,7,36,0,0,15,0,0.3251600340300915,56124,46178.0,35370,39.997481821104884,1
miscal/ESP_012618_1090_RED.NOMAP.browse-Block-10.jpg,143.69281005859375,2195.08025592193,150.31938229501247,25.720565795898438,230.28404235839844,78.17598509788513,87.54412305355072,70.0,0.004028197381671702,0.3345947265625,0.095947265625,0.31494140625,0.3375244140625,66,847,1898,3109,3975,3941,1992,556,65,801,4014,6691,3902,792,107,12,44,57,2,2,43,26,0.6316023733101639,295164,229650.0,154707,631.6351187108085,1
miscal/ESP_012618_1090_RED.NOMAP.browse-Block-12.jpg,157.68927001953125,1557.6321456097066,76.02216094732285,83.36766052246094,595.7418060302734,29.022417962551117,54.26276916265488,39.0,3408.0,0.3148193359375,0.02337646484375,0.23828125,0.33551025390625,218,269,901,1391,4506,6342,2524,233,2,15,132,6028,9727,454,18,8,16,45,0,0,12,0,0.529192274928264,249210,183668.0,145779,168.42530853844454,1
miscal/ESP_015923_2640_RED.NOMAP.browse-Block-9.jpg,134.70440673828125,3376.8687403462827,23.845261093229055,6.1180267333984375,72.148193359375,18.433863043785095,22.87513965368271,90.0,0.912542372881356,0.3045654296875,0.006103515625,0.2288818359375,0.3248291015625,864,1832,1774,1562,4482,3162,2065,643,14,111,1206,6115,7573,1239,119,7,0,26,0,0,1,0,0.3227662676351028,365706,318402.0,129633,409.8792989831202,1
miscal/ESP_016397_2640_RED.NOMAP.browse-Block-11.jpg,124.86456298828125,2686.8863809369504,676.7433887571096,14.161865234375,38.09519958496094,57.22861406207085,76.27203178405762,82.0,1980.0,0.2939453125,0.0,0.13446044921875,0.366943359375,394,2122,2640,3706,2865,2624,1969,64,1,16,290,3085,8264,4087,599,42,14,71,0,6,6,24,0.6035102881637274,78963,72873.0,101154,298.87763471063226,1
miscal/ESP_016397_2640_RED.NOMAP.browse-Block-13.jpg,110.1866455078125,3417.066115602851,1751.9140180945396,12.665390014648438,33.79437255859375,43.09459465742111,48.77135571837425,106.0,0.0018726591760299626,0.2127685546875,0.0,0.05572509765625,0.352294921875,1089,4425,1809,2049,2614,2692,1628,78,47,538,3204,6431,4729,1265,158,12,61,96,7,52,46,116,0.6233847935994467,100041,99005.0,116061,472.26670128293335,1
